module, operation, parameters
arm, pick, location=io.bag&type=cells
arm, place, location=incubator.bag.{X}
None, wait, duration=240min
arm, pick, location=io.bag&type=media
arm, place, location=pump.bag.target
arm, pick, location=incubator.bag.{X}&type=cells
arm, place, location=pump.bag.source
pump, pump_all, None
arm, pick, location=pump.bag.source&type=cells
arm, place, location=io.bag
arm, pick, location=pump.bag.target&type=cells
arm, place, location=sample.bag
arm, pick, location=io.vial&type=sample
arm, place, location=sample.vial
sample, draw_sample, amount=10ml
arm, pick, location=sample.vial&type=sample
arm, place, location=io.vial
arm, pick, location=sample.bag&type=cells
arm, place, location=io.bag
